潮汕周边,#genre#
普宁台,http://ci.emdoor.tech:8080/touchtv.php?pk=2450#http://php.jdshipin.com:8880/chudian.php?id=pnzh
汕头综合,http://192.168.1.1:10000/udp/239.253.43.45:5146
汕头经济生活,http://192.168.1.1:10000/udp/239.253.43.46:5146
汕头文旅体育,http://192.168.1.1:10000/udp/239.253.43.47:5146
潮州综合,http://192.168.1.1:10000/udp/239.253.43.70:5146
潮州民生,http://192.168.1.1:10000/udp/239.253.43.75:5146
揭阳综合,http://192.168.1.1:10000/udp/239.77.0.229:5146
揭阳公共,http://192.168.1.1:10000/udp/239.77.0.251:5146
汕尾新闻综合,http://192.168.1.1:10000/udp/239.77.0.25:5146
汕尾文化生活,http://192.168.1.1:10000/udp/239.77.0.187:5146
梅州综合,http://192.168.1.1:10000/udp/239.253.43.123:5146
梅州客家生活,http://192.168.1.1:10000/udp/239.253.43.124:5146

两岸三地,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
翡翠台,http://202.168.187.208:2024/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0#http://iptv.hiper25.com:7522/upnp/channelstream/4135632220764545141%7C%E7%BF%A1%E7%BF%A0%E5%8F%B0.ts#http://iptv.hiper25.com:7522/upnp/channelstream/4135632220764545141%7C%E7%BF%A1%E7%BF%A0%E5%8F%B0.ts#http://ali.hlspull.yximgs.com/live/twlivefhwwzpthzyztzzzxcxbfhzzfzvhdtzdvbtvzszxzfszzcvbctvbfc.flv
明珠台,http://iptv.hiper25.com:7522/upnp/channelstream/4135458253114979389%7C%E6%98%8E%E7%8F%A0%E5%8F%B0.ts#http://iptv.hiper25.com:7522/upnp/channelstream/4135458253114979389%7C%E6%98%8E%E7%8F%A0%E5%8F%B0.ts#http://ali.hlspull.yximgs.com/live/twlivetcfzhvdzzxcodwoetzmncthvbstyreyhbnnvbdzzwthzyztvbmz.flv
J2,http://ali.hlspull.yximgs.com/live/twlivefhwohdpthzyfiplhdftuzfbvdimhdznbzszbcvxzfzsehbvbztvbd2.flv
TVB星河,http://ali.hlspull.yximgs.com/live/twlivezzmzptvzszzwxnhzzwzztzzztyfzszzszcfzxfzwmxzdtvbxh.flv
无线新闻,http://ali.hlspull.yximgs.com/live/twlivefhwzpthlzzszszzbvdlzdmnbzhdhyzyztvbwxxw.flv
无线财经,http://ali.hlspull.yximgs.com/live/twlivefhwylwpthzyzzfzxvzlmnduhyzmtvbwxcd.flv
RTHK31,http://ali.hlspull.yximgs.com/live/twlivehpzdthpthcvhnzuzulsfzhcvbzuyhbnzyzthz31.flv
RTHK32,http://ali.hlspull.yximgs.com/live/twlivezpzzecxvzzuszfzzfdhnbthzzszfwdtncyzthz32.flv
VIUTV,http://ali.hlspull.yximgs.com/live/twlivefhtzznzzdldzluzobnmzzhnbbmdzlpthzyzvzutv.flv
VIUTV6,http://ali.hlspull.yximgs.com/live/twlivefhwzptdzbehztyhbvhfzcvszzfyztvzutvszx.flv
HOY77,http://ali.hlspull.yximgs.com/live/twlivezezcxlvofbncvshhzszcvndfncvbdzpeyzhxchzszzhzezzzyxxw.flv
HOY78http://ali.hlspull.yximgs.com/live/twlivezezcxlvofbncvshhzszcvndfncvbdzpeyzhxchzszzhzezzzyxxw.flv
天映频道,http://ali.hlspull.yximgs.com/live/twlivezezcxlvofbzbvnzzsfzvbhfhcvxcvzszbcvzfdvzsfcbzbnztypz.flv

央视高清,#genre#
CCTV-1高清,http://192.168.1.1:10000/udp/239.77.0.86:5146
CCTV-2高清测试,http://192.168.1.1:10000/udp/239.77.0.137:5146
CCTV-3高清,http://192.168.1.1:10000/udp/239.77.0.169:5146
CCTV-4高清,http://192.168.1.1:10000/udp/239.77.0.78:5146
CCTV-5高清,http://192.168.1.1:10000/udp/239.77.0.170:5146
CCTV5＋体育高清-测试,http://192.168.1.1:10000/udp/239.77.0.87:5146
CCTV-6高清,http://192.168.1.1:10000/udp/239.77.0.171:5146
CCTV-7高清测试,http://192.168.1.1:10000/udp/239.77.0.138:5146
CCTV-8高清,http://192.168.1.1:10000/udp/239.77.0.172:5146
CCTV-9高清测试,http://192.168.1.1:10000/udp/239.77.0.135:5146
CCTV-10高清测试,http://192.168.1.1:10000/udp/239.77.0.134:5146
CCTV-11高清,http://192.168.1.1:10000/udp/239.77.1.238:5146
CCTV-12高清测试,http://192.168.1.1:10000/udp/239.77.0.136:5146
CCTV-13高清,http://192.168.1.1:10000/udp/239.77.0.188:5146
CCTV-14高清测试,http://192.168.1.1:10000/udp/239.77.0.133:5146
CCTV-15高清,http://192.168.1.1:10000/udp/239.77.1.239:5146
CCTV-16高清,http://192.168.1.1:10000/udp/239.77.0.165:5146
CCTV-17农业高清,http://192.168.1.1:10000/udp/239.77.0.198:5146
CCTV -1综合高清,http://192.168.1.1:10000/udp/239.77.0.86:5146
CCTV -2财经高清,http://192.168.1.1:10000/udp/239.77.0.137:5146
CCTV -7军事农业高清,http://192.168.1.1:10000/udp/239.77.0.138:5146
CCTV-10科教高清,http://192.168.1.1:10000/udp/239.77.0.134:5146
兵器科技高清,http://192.168.1.1:10000/udp/239.253.43.18:5146
电视指南高清,http://192.168.1.1:10000/udp/239.253.43.19:5146
风云足球高清,http://192.168.1.1:10000/udp/239.253.43.20:5146
央视台球高清,http://192.168.1.1:10000/udp/239.253.43.21:5146
高尔夫网球高清,http://192.168.1.1:10000/udp/239.253.43.22:5146
女性时尚高清,http://192.168.1.1:10000/udp/239.253.43.23:5146
世界地理高清,http://192.168.1.1:10000/udp/239.253.43.24:5146
怀旧剧场高清,http://192.168.1.1:10000/udp/239.253.43.25:5146
风云剧场高清,http://192.168.1.1:10000/udp/239.253.43.26:5146
